Season,Team,Actual_Rank,Predicted_Rank
2014-15,Dallas Mavericks,10,10
2014-15,Brooklyn Nets,11,11
2014-15,Portland Trail Blazers,12,12
2014-15,New Orleans Pelicans,13,13
2014-15,Milwaukee Bucks,15,14
2014-15,Boston Celtics,14,15
2014-15,Toronto Raptors,16,16
2015-16,San Antonio Spurs,1,1
2015-16,Cleveland Cavaliers,2,2
2015-16,Oklahoma City Thunder,3,3
2015-16,Golden State Warriors,4,4
2015-16,Miami Heat,5,5
2015-16,Indiana Pacers,6,6
2015-16,Los Angeles Clippers,7,7
2015-16,Atlanta Hawks,8,8
2015-16,Portland Trail Blazers,9,9
2015-16,Toronto Raptors,10,10
2015-16,Boston Celtics,11,11
2015-16,Charlotte Hornets,12,12
2015-16,Detroit Pistons,13,13
2015-16,Houston Rockets,14,14
2015-16,Dallas Mavericks,15,15
2015-16,Memphis Grizzlies,16,16
2016-17,Golden State Warriors,1,1
2016-17,Cleveland Cavaliers,2,2
2016-17,Houston Rockets,3,3
2016-17,San Antonio Spurs,4,4
2016-17,Washington Wizards,5,5
2016-17,Milwaukee Bucks,6,6
2016-17,Atlanta Hawks,7,7
2016-17,Los Angeles Clippers,8,8
2016-17,Boston Celtics,9,9
2016-17,Indiana Pacers,10,10
2016-17,Utah Jazz,11,11
2016-17,Toronto Raptors,12,12
2016-17,Chicago Bulls,13,13
2016-17,Oklahoma City Thunder,14,14
2016-17,Memphis Grizzlies,15,15
2016-17,Portland Trail Blazers,16,16
2017-18,Golden State Warriors,1,1
2017-18,Indiana Pacers,2,2
2017-18,Philadelphia 76ers,3,3
2017-18,Houston Rockets,4,4
2017-18,Boston Celtics,5,5
2017-18,Milwaukee Bucks,6,6
2017-18,New Orleans Pelicans,7,7
2017-18,Cleveland Cavaliers,8,8
2017-18,Utah Jazz,10,9
2017-18,Washington Wizards,9,10
2017-18,Oklahoma City Thunder,11,11
2017-18,Toronto Raptors,12,12
2017-18,Portland Trail Blazers,13,13
2017-18,Minnesota Timberwolves,14,14
2017-18,San Antonio Spurs,15,15
2017-18,Miami Heat,16,16
2018-19,Milwaukee Bucks,1,1
2018-19,Golden State Warriors,3,2
2018-19,Toronto Raptors,2,3
2018-19,Houston Rockets,4,4
2018-19,Philadelphia 76ers,5,5
2018-19,Denver Nuggets,6,6
2018-19,Boston Celtics,7,7
2018-19,Portland Trail Blazers,8,8
2018-19,San Antonio Spurs,9,9
2018-19,Oklahoma City Thunder,10,10
2018-19,Indiana Pacers,11,11
2018-19,Utah Jazz,12,12
2018-19,Los Angeles Clippers,13,13
2018-19,Brooklyn Nets,14,14
2018-19,Orlando Magic,15,15
2018-19,Detroit Pistons,16,16
2019-20,Los Angeles Lakers,1,1
2019-20,Boston Celtics,2,2
2019-20,Los Angeles Clippers,3,3
2019-20,Toronto Raptors,4,4
2019-20,Utah Jazz,5,5
2019-20,Miami Heat,6,6
2019-20,Milwaukee Bucks,7,7
2019-20,Houston Rockets,8,8
2019-20,Denver Nuggets,9,9
2019-20,Oklahoma City Thunder,10,10
2019-20,Orlando Magic,11,11
2019-20,Dallas Mavericks,12,12
2019-20,Portland Trail Blazers,13,13
2019-20,Philadelphia 76ers,15,14
2019-20,Indiana Pacers,14,15
2019-20,Brooklyn Nets,16,16
2020-21,Philadelphia 76ers,1,1
2020-21,Brooklyn Nets,2,2
2020-21,Milwaukee Bucks,3,3
2020-21,Phoenix Suns,4,4
2020-21,Los Angeles Clippers,5,5
2020-21,Utah Jazz,6,6
2020-21,Portland Trail Blazers,7,7
2020-21,Atlanta Hawks,8,8
2020-21,Dallas Mavericks,9,9
2020-21,Denver Nuggets,10,10
2020-21,Los Angeles Lakers,11,11
2020-21,New York Knicks,12,12
2020-21,Memphis Grizzlies,13,13
2020-21,Boston Celtics,14,14
2020-21,Washington Wizards,15,15
2020-21,Miami Heat,16,16
2021-22,Golden State Warriors,1,1
2021-22,Miami Heat,2,2
2021-22,Boston Celtics,3,3
2021-22,Memphis Grizzlies,4,4
2021-22,Milwaukee Bucks,5,5
2021-22,Dallas Mavericks,6,6
2021-22,Philadelphia 76ers,7,7
2021-22,Phoenix Suns,8,8
2021-22,New Orleans Pelicans,9,9
2021-22,Brooklyn Nets,10,10
2021-22,Minnesota Timberwolves,11,11
2021-22,Utah Jazz,12,12
2021-22,Denver Nuggets,13,13
2021-22,Toronto Raptors,14,14
2021-22,Atlanta Hawks,15,15
2021-22,Chicago Bulls,16,16
2022-23,Denver Nuggets,1,1
2022-23,Boston Celtics,2,2
2022-23,Los Angeles Lakers,3,3
2022-23,New York Knicks,5,4
2022-23,Miami Heat,4,5
2022-23,Golden State Warriors,6,6
2022-23,Philadelphia 76ers,7,7
2022-23,Sacramento Kings,8,8
2022-23,Phoenix Suns,9,9
2022-23,Milwaukee Bucks,10,10
2022-23,Atlanta Hawks,11,11
2022-23,Cleveland Cavaliers,12,12
2022-23,Los Angeles Clippers,13,13
2022-23,Memphis Grizzlies,14,14
2022-23,Minnesota Timberwolves,15,15
2022-23,Brooklyn Nets,16,16
2023-24,Oklahoma City Thunder,2,1
2023-24,Boston Celtics,1,2
2023-24,Los Angeles Lakers,10,3
2023-24,Orlando Magic,3,4
2023-24,Minnesota Timberwolves,4,5
2023-24,Indiana Pacers,6,6
2023-24,Dallas Mavericks,5,7
2023-24,Philadelphia 76ers,7,8
2023-24,Denver Nuggets,8,9
2023-24,New York Knicks,9,10
2023-24,Milwaukee Bucks,11,11
2023-24,Cleveland Cavaliers,12,12
2023-24,Los Angeles Clippers,13,13
2023-24,Phoenix Suns,14,14
2023-24,New Orleans Pelicans,15,15
2023-24,Miami Heat,16,16
